Date,RegionName,DaysOnZillow_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianRentalPrice_AllHomes,Sale_Counts,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes
2015-01-31,California,88.25,236.824769433465,399000.0,2100.0,25696.0,386300.0,424200.0,2184.0
2015-01-31,Florida,112.5,122.980017376195,219900.0,1550.0,29485.0,161700.0,165700.0,1412.0
2015-01-31,New York,166.25,180.0,325000.0,3000.0,11244.0,247000.0,255100.0,1985.0
2015-01-31,Texas,86.25,103.192919522991,225000.0,1350.0,19641.0,183000.0,139300.0,1353.0
2015-01-31,Washington,103.5,152.863860105438,259900.0,1495.0,5879.0,263200.0,261300.0,1519.0
2015-02-28,California,84.5,244.252873563218,410000.0,2100.0,26334.0,390900.0,426400.0,2196.0
2015-02-28,Florida,112.75,125.730994152047,225000.0,1575.0,31850.0,163800.0,166800.0,1418.0
2015-02-28,New York,172.75,180.636103728722,329900.0,3000.0,10521.0,250500.0,255600.0,1988.0
2015-02-28,Texas,82.25,104.679802955665,230000.0,1375.0,20112.0,183900.0,140100.0,1360.0
2015-02-28,Washington,99.0,158.081383085169,269900.0,1495.0,6459.0,267700.0,262800.0,1526.0
2015-03-31,California,71.75,249.077490774908,424900.0,2119.0,36305.0,396800.0,429000.0,2206.0
2015-03-31,Florida,108.25,123.72233623283,225000.0,1600.0,42881.0,166200.0,168200.0,1425.0
2015-03-31,New York,176.25,180.63849900981302,330000.0,3027.0,11872.0,248400.0,256300.0,1997.0
2015-03-31,Texas,72.5,105.6863676808,238990.0,1395.0,29392.0,186100.0,141200.0,1365.0
2015-03-31,Washington,81.0,161.350844277674,276650.0,1500.0,8963.0,269500.0,265300.0,1535.0
2015-04-30,California,63.75,252.42718446601899,429900.0,2200.0,41043.0,400200.0,431700.0,2216.0
2015-04-30,Florida,101.25,123.935309973046,225000.0,1600.0,44877.0,167800.0,169900.0,1432.0
2015-04-30,New York,173.0,179.425837320574,329500.0,3200.0,11788.0,250400.0,257000.0,2011.0
2015-04-30,Texas,66.0,107.48584732096701,242000.0,1400.0,28717.0,183600.0,142500.0,1371.0
2015-04-30,Washington,65.25,164.893617021277,284900.0,1500.0,10383.0,272700.0,267900.0,1548.0
2015-05-31,California,62.5,258.517142057564,445000.0,2200.0,41396.0,400000.0,434300.0,2228.0
2015-05-31,Florida,98.0,126.359039190898,227999.5,1650.0,42813.0,170100.0,171400.0,1440.0
2015-05-31,New York,159.75,177.213146905721,329000.0,3000.0,12368.0,245700.0,257400.0,2019.0
2015-05-31,Texas,64.0,107.364787111623,242000.0,1425.0,31197.0,184600.0,143500.0,1378.0
2015-05-31,Washington,60.25,168.789808917197,289900.0,1550.0,10447.0,274100.0,270300.0,1560.0
2015-06-30,California,63.0,262.731871838111,449000.0,2275.0,45979.0,402800.0,436700.0,2239.0
2015-06-30,Florida,98.75,126.606334841629,229000.0,1650.0,48596.0,170900.0,172800.0,1448.0
2015-06-30,New York,139.75,174.91254372813597,334900.0,3100.0,15779.0,248400.0,258000.0,2031.0
2015-06-30,Texas,64.0,107.41297808336901,243780.5,1450.0,36686.0,184300.0,144600.0,1383.0
2015-06-30,Washington,61.0,170.953912111468,291995.0,1595.0,12643.0,275800.0,272600.0,1569.0
2015-07-31,California,63.75,258.865833647939,445000.0,2295.0,45720.0,403000.0,439300.0,2250.0
2015-07-31,Florida,101.0,126.118795768918,229900.0,1650.0,46067.0,171700.0,174300.0,1455.0
2015-07-31,New York,127.5,172.36614802354902,328345.0,3200.0,18006.0,246100.0,258800.0,2042.0
2015-07-31,Texas,64.75,108.19813662627199,245000.0,1450.0,35344.0,185300.0,145800.0,1388.0
2015-07-31,Washington,63.25,170.863309352518,289950.0,1595.0,12689.0,273900.0,274900.0,1576.0
2015-08-31,California,64.75,263.781861292235,449000.0,2300.0,40922.0,405100.0,441900.0,2259.0
2015-08-31,Florida,103.625,128.99896800825599,238990.0,1700.0,40939.0,171400.0,175900.0,1461.0
2015-08-31,New York,129.0,168.701942964207,319000.0,3200.0,17710.0,248900.0,259900.0,2063.0
2015-08-31,Texas,66.0,108.65986792998301,246990.0,1445.0,30657.0,185600.0,146800.0,1392.0
2015-08-31,Washington,66.0,171.798493408663,295000.0,1625.0,11120.0,273300.0,277000.0,1583.0
2015-09-30,California,67.0,264.601769911504,449900.0,2300.0,39774.0,405700.0,444600.0,2264.0
2015-09-30,Florida,104.5,130.242424242424,239900.0,1650.0,40384.0,172600.0,177300.0,1463.0
2015-09-30,New York,136.75,167.903037383178,315000.0,3200.0,17895.0,249300.0,261300.0,2080.0
2015-09-30,Texas,69.5,109.265648589821,248000.0,1400.0,31358.0,185400.0,147900.0,1392.0
2015-09-30,Washington,68.5,171.703296703297,294900.0,1600.0,11125.0,274500.0,279000.0,1587.0
2015-10-31,California,70.5,263.617187083135,449900.0,2300.0,37918.0,406200.0,446900.0,2267.0
2015-10-31,Florida,104.125,132.347300061389,242000.0,1690.0,38198.0,173800.0,178700.0,1463.0
2015-10-31,New York,145.25,170.173267326733,319000.0,3100.0,16529.0,251700.0,262400.0,2095.0
2015-10-31,Texas,75.25,109.63155833985901,249500.0,1400.0,29395.0,185500.0,148900.0,1391.0
2015-10-31,Washington,71.25,171.376475420372,292000.0,1600.0,10217.0,277900.0,280700.0,1590.0
2015-11-30,California,75.0,261.789083557951,449000.0,2300.0,30154.0,409800.0,449300.0,2272.0
2015-11-30,Florida,104.25,135.165686366306,249000.0,1700.0,33127.0,174100.0,180000.0,1465.0
2015-11-30,New York,153.5,171.428571428571,319000.0,3100.0,14517.0,255100.0,263200.0,2096.0
2015-11-30,Texas,80.75,109.660883280757,249900.0,1400.0,22580.0,186300.0,149700.0,1391.0
2015-11-30,Washington,76.25,169.459663377829,289950.0,1600.0,7674.0,280600.0,282600.0,1594.0
2015-12-31,California,81.25,258.671328671329,444450.0,2300.0,38231.0,411600.0,451500.0,2280.0
2015-12-31,Florida,105.25,136.27152988855102,249900.0,1700.0,39627.0,175700.0,181500.0,1468.0
2015-12-31,New York,160.25,171.364184770125,319000.0,3200.0,16093.0,255000.0,264100.0,2095.0
2015-12-31,Texas,86.0,110.731612593127,252990.0,1400.0,29309.0,187600.0,150600.0,1392.0
2015-12-31,Washington,83.75,167.575140091696,286500.0,1595.0,9566.0,284200.0,284600.0,1598.0
2016-01-31,California,87.25,257.90225394567,439950.0,2300.0,27347.0,417100.0,453700.0,2297.0
2016-01-31,Florida,107.25,136.93479757967899,249500.0,1700.0,30208.0,179500.0,183000.0,1478.0
2016-01-31,New York,166.0,179.523512479545,330000.0,3200.0,12910.0,249600.0,265300.0,2103.0
2016-01-31,Texas,91.5,110.898282694848,250000.0,1400.0,21516.0,191600.0,152000.0,1399.0
2016-01-31,Washington,89.25,166.756917708143,284950.0,1600.0,6398.0,286600.0,287200.0,1610.0
2016-02-29,California,83.5,264.429101288933,449900.0,2350.0,28313.0,416300.0,456500.0,2312.0
2016-02-29,Florida,108.0,141.221374045802,249950.0,1745.0,32183.0,183700.0,184300.0,1486.0
2016-02-29,New York,171.5,181.63912615608,339000.0,3200.0,12502.0,246500.0,266200.0,2111.0
2016-02-29,Texas,89.5,109.88336402701,244900.0,1400.0,24485.0,192800.0,153500.0,1406.0
2016-02-29,Washington,83.25,169.615667449376,285000.0,1600.0,6896.0,287900.0,291000.0,1622.0
2016-03-31,California,70.75,271.284034584303,459999.0,2400.0,38146.0,417100.0,459600.0,2328.0
2016-03-31,Florida,104.25,142.907427267609,252360.0,1750.0,40918.0,185100.0,185600.0,1494.0
2016-03-31,New York,175.25,177.68174885612598,329999.0,3275.0,14992.0,254100.0,267000.0,2119.0
2016-03-31,Texas,78.5,111.507582515611,249900.0,1450.0,31859.0,194100.0,154700.0,1412.0
2016-03-31,Washington,68.25,173.034179735661,289950.0,1600.0,10125.0,288600.0,294900.0,1636.0
2016-04-30,California,63.0,277.777777777778,475000.0,2395.0,40316.0,416600.0,462300.0,2343.0
2016-04-30,Florida,98.5,144.271968796423,259000.0,1725.0,41295.0,184300.0,187000.0,1499.0
2016-04-30,New York,171.25,183.760683760684,347997.5,3300.0,13711.0,265300.0,267400.0,2120.0
2016-04-30,Texas,69.75,112.087330873309,250000.0,1420.0,31303.0,192000.0,155800.0,1416.0
2016-04-30,Washington,58.25,176.866585067319,299000.0,1600.0,10688.0,289000.0,298200.0,1647.0
2016-05-31,California,62.25,281.470989788183,479900.0,2395.0,42336.0,419500.0,464300.0,2355.0
2016-05-31,Florida,96.25,143.75441098039101,258730.0,1695.0,43117.0,184400.0,188400.0,1504.0
2016-05-31,New York,154.0,179.060587458088,339000.0,3300.0,14748.0,265600.0,267600.0,2126.0
2016-05-31,Texas,67.25,113.05269208538999,255000.0,1400.0,33633.0,193100.0,156700.0,1419.0
2016-05-31,Washington,55.75,180.386597938144,304900.0,1650.0,12156.0,291800.0,300900.0,1654.0
2016-06-30,California,63.0,285.326086956522,485000.0,2400.0,46783.0,422400.0,467200.0,2366.0
2016-06-30,Florida,96.75,143.80258421058,259000.0,1675.0,46745.0,186100.0,190300.0,1509.0
2016-06-30,New York,134.25,178.36072756240003,339900.0,3100.0,18022.0,264900.0,268200.0,2133.0
2016-06-30,Texas,67.0,113.327289211242,255900.0,1425.0,37432.0,192400.0,157900.0,1420.0
2016-06-30,Washington,56.25,183.40619168746602,314900.0,1675.0,13759.0,293600.0,303100.0,1660.0
2016-07-31,California,64.25,286.55737704918,485000.0,2400.0,41349.0,423400.0,470400.0,2372.0
2016-07-31,Florida,97.0,143.53259034110098,259000.0,1615.0,39807.0,187600.0,192300.0,1513.0
2016-07-31,New York,126.0,167.72696093615602,325000.0,3000.0,18026.0,268600.0,269000.0,2141.0
2016-07-31,Texas,67.25,113.708759954494,255990.0,1445.0,33941.0,193700.0,159300.0,1421.0
2016-07-31,Washington,59.0,184.728168383341,315000.0,1700.0,12539.0,295200.0,305000.0,1665.0
2016-08-31,California,66.25,284.736902050114,479900.0,2395.0,44144.0,424200.0,473000.0,2376.0
2016-08-31,Florida,97.5,142.95014682643298,255000.0,1600.0,41386.0,189700.0,193900.0,1516.0
2016-08-31,New York,128.5,166.0,319999.0,3000.0,20229.0,273200.0,270000.0,2144.0
2016-08-31,Texas,68.75,113.679565512559,254995.0,1425.0,36630.0,195300.0,160300.0,1421.0
2016-08-31,Washington,63.0,185.23071741326999,315000.0,1700.0,13457.0,297300.0,307200.0,1671.0
2016-09-30,California,69.0,285.097192224622,479900.0,2400.0,40330.0,425500.0,475400.0,2379.0
2016-09-30,Florida,99.0,145.416472778036,259900.0,1600.0,36027.0,190700.0,195200.0,1520.0
2016-09-30,New York,134.5,166.357670979667,320000.0,2990.0,18648.0,271900.0,271600.0,2147.0
2016-09-30,Texas,72.5,113.522095792538,253760.0,1400.0,32188.0,199000.0,160800.0,1421.0
2016-09-30,Washington,66.75,186.32298136646,315000.0,1700.0,12297.0,298300.0,309900.0,1680.0
2016-10-31,California,71.75,284.346846846847,479800.0,2350.0,38478.0,429600.0,478500.0,2383.0
2016-10-31,Florida,100.75,147.081766917293,260000.0,1620.0,35603.0,194100.0,197200.0,1525.0
2016-10-31,New York,140.0,166.31536226931001,320000.0,2988.0,16866.0,264800.0,273400.0,2151.0
2016-10-31,Texas,77.5,114.427595879702,257640.0,1395.0,28482.0,201700.0,161300.0,1422.0
2016-10-31,Washington,70.75,186.87707641196,315900.0,1700.0,11320.0,300500.0,312900.0,1692.0
2016-11-30,California,74.25,281.576951987231,475000.0,2400.0,37412.0,431700.0,481700.0,2389.0
2016-11-30,Florida,101.75,148.396674584323,260900.0,1750.0,36153.0,196900.0,199300.0,1532.0
2016-11-30,New York,145.25,170.310559006211,329000.0,2899.0,16230.0,264800.0,275500.0,2160.0
2016-11-30,Texas,81.25,113.55755435992799,250000.0,1400.0,27490.0,203200.0,161900.0,1422.0
2016-11-30,Washington,75.75,185.23555519905898,314900.0,1695.0,10458.0,303500.0,315900.0,1707.0
2016-12-31,California,78.25,275.062696023281,465000.0,2300.0,38048.0,431700.0,484600.0,2397.0
2016-12-31,Florida,103.0,149.521282001718,264900.0,1600.0,40667.0,200300.0,201300.0,1535.0
2016-12-31,New York,150.0,168.685121107266,328990.5,2863.5,17063.0,265800.0,277600.0,2166.0
2016-12-31,Texas,84.25,113.485460420032,249995.0,1385.0,29892.0,204100.0,162300.0,1420.0
2016-12-31,Washington,82.75,181.879059452608,309000.0,1695.0,10157.0,306700.0,318500.0,1719.0
2017-01-31,California,82.0,276.070399738974,468000.0,2400.0,29657.0,434600.0,487400.0,2409.0
2017-01-31,Florida,105.5,153.67020170513598,269900.0,1629.0,32098.0,203600.0,202900.0,1538.0
2017-01-31,New York,154.25,173.115338713344,339000.0,2900.0,14984.0,265800.0,280100.0,2175.0
2017-01-31,Texas,87.5,113.96005698005699,249900.0,1426.0,22848.0,207400.0,162800.0,1420.0
2017-01-31,Washington,87.25,180.86107091172198,305000.0,1750.0,7874.0,312900.0,320600.0,1729.0
2017-02-28,California,77.0,282.53523922970004,475000.0,2500.0,28516.0,439600.0,490500.0,2419.0
2017-02-28,Florida,106.5,155.441055310423,273990.0,1650.0,32615.0,206400.0,204000.0,1540.0
2017-02-28,New York,159.25,180.07548644534901,349000.0,3000.0,13741.0,269800.0,283200.0,2178.0
2017-02-28,Texas,84.75,115.165418227216,255000.0,1450.0,24112.0,208500.0,163300.0,1419.0
2017-02-28,Washington,80.25,183.70192645317903,315000.0,1795.0,7354.0,314000.0,323100.0,1735.0
2017-03-31,California,64.75,292.83276450511903,494500.0,2500.0,41109.0,446200.0,494300.0,2429.0
2017-03-31,Florida,103.0,155.9,275000.0,1690.0,43925.0,207000.0,204900.0,1542.0
2017-03-31,New York,162.25,184.15186830246398,349900.0,3150.0,15281.0,269200.0,287600.0,2177.0
2017-03-31,Texas,74.75,117.167600611309,263837.5,1475.0,33575.0,208600.0,164000.0,1419.0
2017-03-31,Washington,65.5,190.779014308426,329000.0,1800.0,10304.0,315900.0,326000.0,1742.0
2017-04-30,California,56.75,298.755271845665,499900.0,2600.0,38807.0,446500.0,498100.0,2439.0
2017-04-30,Florida,97.75,157.329136690647,279000.0,1700.0,41846.0,206100.0,205900.0,1544.0
2017-04-30,New York,155.0,184.413580246914,349990.0,3275.0,14180.0,281300.0,293500.0,2174.0
2017-04-30,Texas,67.0,118.65620360718,269900.0,1500.0,30906.0,205200.0,165400.0,1420.0
2017-04-30,Washington,54.5,194.82116955056802,338000.0,1850.0,10148.0,316500.0,329300.0,1749.0
2017-05-31,California,54.5,298.889837745517,499999.0,2650.0,45873.0,448700.0,501700.0,2445.0
2017-05-31,Florida,95.25,157.355184802331,279900.0,1700.0,45948.0,203300.0,207300.0,1544.0
2017-05-31,New York,137.5,181.094339622642,349000.0,3300.0,16610.0,285700.0,298900.0,2168.0
2017-05-31,Texas,64.0,119.48707124010599,272000.0,1500.0,37450.0,203900.0,167700.0,1421.0
2017-05-31,Washington,50.0,200.0,349000.0,1900.0,13124.0,318600.0,333200.0,1758.0
2017-06-30,California,54.5,297.491594689242,499900.0,2682.5,50275.0,452400.0,504600.0,2449.0
2017-06-30,Florida,94.75,157.10831721469998,279900.5,1700.0,48617.0,203300.0,208700.0,1545.0
2017-06-30,New York,123.25,177.72222222222197,344999.5,3300.0,18140.0,282400.0,301500.0,2163.0
2017-06-30,Texas,63.0,119.856013551666,274644.5,1500.0,38712.0,202100.0,169300.0,1426.0
2017-06-30,Washington,49.25,203.657407407407,350000.0,1995.0,14849.0,322000.0,336500.0,1772.0
2017-07-31,California,56.0,297.90115098172004,499950.0,2695.0,41678.0,457600.0,507100.0,2454.0
2017-07-31,Florida,93.75,157.05483672212,279999.0,1750.0,41978.0,203200.0,209900.0,1547.0
2017-07-31,New York,118.0,176.333333333333,339900.0,3250.0,17888.0,274000.0,302100.0,2159.0
2017-07-31,Texas,63.75,119.53663118346901,270000.0,1510.0,35153.0,207100.0,169800.0,1429.0
2017-07-31,Washington,50.375,205.13022888713502,350000.0,2000.0,13082.0,323000.0,338800.0,1788.0
2017-08-31,California,58.0,298.245614035088,499900.0,2695.0,46031.0,457800.0,509900.0,2461.0
2017-08-31,Florida,93.25,157.069849012729,279900.0,1750.0,44605.0,205300.0,211000.0,1549.0
2017-08-31,New York,118.0,173.684210526316,329900.0,3170.0,21900.0,268700.0,302900.0,2158.0
2017-08-31,Texas,66.25,119.18274687854701,269900.0,1500.0,36453.0,212900.0,170200.0,1431.0
2017-08-31,Washington,52.75,204.92421850331502,350000.0,2000.0,14093.0,325100.0,341200.0,1804.0
2017-09-30,California,59.75,299.288617886179,499950.0,2650.0,39971.0,459000.0,513000.0,2470.0
2017-09-30,Florida,95.25,157.816481069042,283990.0,1775.0,29928.0,205300.0,212600.0,1550.0
2017-09-30,New York,120.5,176.470588235294,339000.0,3600.0,17980.0,286200.0,304300.0,2160.0
2017-09-30,Texas,71.25,119.28104575163401,269000.0,1500.0,32243.0,218200.0,171100.0,1432.0
2017-09-30,Washington,55.875,206.569022272027,350000.0,1995.0,12218.0,327800.0,344100.0,1817.0
2017-10-31,California,61.0,299.827434234427,499990.0,2650.0,40056.0,458200.0,516500.0,2479.0
2017-10-31,Florida,98.0,158.314350797267,279900.0,1795.0,38286.0,205800.0,214200.0,1548.0
2017-10-31,New York,124.25,178.225347346011,339900.0,3295.0,17581.0,292200.0,305700.0,2160.0
2017-10-31,Texas,76.75,119.502868068834,269000.0,1495.0,32496.0,217100.0,171900.0,1434.0
2017-10-31,Washington,58.75,205.426356589147,350000.0,1950.0,11760.0,329000.0,346600.0,1829.0
2017-11-30,California,62.0,297.789625360231,499000.0,2600.0,36837.0,463200.0,520500.0,2487.0
2017-11-30,Florida,99.0,159.744408945687,284900.0,1800.0,35429.0,204500.0,215400.0,1546.0
2017-11-30,Texas,80.0,119.603921568627,269000.0,1495.0,29414.0,214100.0,172900.0,1438.0
2017-11-30,Washington,61.0,203.551136363636,350000.0,1920.0,10877.0,333400.0,349100.0,1837.0
